val_loss,"[6.923877239227295, 5.290432095527649, 4.832657366991043, 4.422369122505188, 4.226991802453995, 3.9922156631946564, 3.744211107492447, 4.01665386557579, 3.707584321498871, 3.646920472383499, 3.7269352674484253, 3.4211986362934113, 3.568305492401123, 3.4718779921531677, 3.4818888008594513, 3.6910764276981354, 3.5074796080589294, 3.4897380769252777, 3.6127531826496124, 3.4722690880298615, 4.506120800971985, 3.946731448173523, 3.0475256145000458, 3.3052160143852234, 3.4351122975349426, 3.3933241963386536, 3.8019596338272095, 3.3380541801452637, 3.412489116191864, 3.3099560141563416, 3.1355634331703186, 3.310507208108902, 3.4355875849723816, 3.4372769594192505, 3.3480815291404724, 3.4699824154376984, 3.441509574651718, 3.4531628787517548, 3.3996570110321045, 3.2126642763614655, 3.484986186027527, 3.4167187809944153, 3.160725384950638, 3.3105045557022095, 2.9649829417467117, 3.2343989610671997, 3.6792029440402985, 3.3658367097377777, 3.4418172240257263, 3.185402899980545, 3.189275234937668, 3.3640697300434113, 3.4213978052139282, 3.3168084621429443, 3.259142965078354, 3.3320150077342987, 3.210495889186859, 3.1740393936634064, 3.320771336555481, 3.0737770795822144, 3.113986223936081, 3.2180413901805878, 3.2153546512126923, 3.0969892144203186, 3.235723525285721, 3.4245677143335342, 3.3328962922096252, 3.0552565157413483, 3.1777439415454865, 3.2319938093423843, 3.1192215979099274, 3.064092308282852, 3.038258135318756, 5.536272943019867, 3.393284648656845, 3.34819957613945, 3.146990954875946, 3.816191256046295, 3.3486786782741547, 3.269557386636734, 3.123691827058792, 3.1210866570472717, 3.0667935460805893, 3.197044610977173, 3.16359980404377, 3.335363060235977, 3.0921605825424194, 2.9936610758304596, 3.4353739619255066, 3.282396227121353, 3.229186713695526, 3.0429547131061554, 2.82990163564682, 3.277163028717041, 2.912920594215393, 3.1782347559928894, 2.9485826194286346, 3.463978737592697, 3.1664030104875565, 3.061154752969742, 3.187120735645294, 3.193933218717575, 4.4176264107227325]"
val_conv2d_27_loss,"[0.32246533036231995, 0.18529284931719303, 0.14735263120383024, 0.13429706264287233, 0.12822292279452085, 0.12383336015045643, 0.10739388223737478, 0.12447069864720106, 0.11140942946076393, 0.11689544934779406, 0.10989576298743486, 0.1026903772726655, 0.10849565919488668, 0.10854054801166058, 0.10525032877922058, 0.11170111317187548, 0.10085541289299726, 0.10168582480400801, 0.10900022927671671, 0.10349832382053137, 0.10270330496132374, 0.10129927936941385, 0.09522410482168198, 0.10900110471993685, 0.09889217093586922, 0.10311664640903473, 0.10700370743870735, 0.09293410088866949, 0.10302877239882946, 0.09182003512978554, 0.09689780976623297, 0.10717230476438999, 0.09364972542971373, 0.09406248573213816, 0.13294270541518927, 0.09052129089832306, 0.09262859169393778, 0.09514690982177854, 0.09273806866258383, 0.0898194583132863, 0.0953801516443491, 0.10249662306159735, 0.08941351063549519, 0.0918478611856699, 0.09343892149627209, 0.09372305870056152, 0.09160327725112438, 0.0927234161645174, 0.09005472250282764, 0.08996338490396738, 0.11485205870121717, 0.0922412620857358, 0.09561080951243639, 0.09624120406806469, 0.09119179099798203, 0.09550835285335779, 0.09105006698518991, 0.10427113901823759, 0.09428293257951736, 0.08785342052578926, 0.09786930587142706, 0.0962587846443057, 0.0869322931393981, 0.097163668833673, 0.0977112241089344, 0.09147696383297443, 0.09467932395637035, 0.09604290407150984, 0.090414734557271, 0.09060225542634726, 0.08613121695816517, 0.09136574435979128, 0.093432093039155, 0.10289260651916265, 0.09426458552479744, 0.09896968305110931, 0.09031260386109352, 0.09854453802108765, 0.09492642246186733, 0.0998544292524457, 0.09221763629466295, 0.10189645830541849, 0.090239436365664, 0.09089877549558878, 0.088921875692904, 0.09305396862328053, 0.1435209196060896, 0.0922336233779788, 0.09335880726575851, 0.09660826623439789, 0.09413145948201418, 0.0967477117665112, 0.09027783712372184, 0.09062720695510507, 0.10179481562227011, 0.09649325720965862, 0.09253840334713459, 0.09054998215287924, 0.0892310431227088, 0.09106330946087837, 0.09236855525523424, 0.09176179300993681, 0.15004318486899137]"
val_conv2d_32_loss,"[0.49478278681635857, 0.3454319015145302, 0.25540031120181084, 0.2484538685530424, 0.21218556351959705, 0.21123014949262142, 0.20256703346967697, 0.1937724854797125, 0.18970162607729435, 0.192488057538867, 0.272586215287447, 0.16784978471696377, 0.1599031165242195, 0.16520745120942593, 0.18284258618950844, 0.16660124622285366, 0.17245695739984512, 0.16786133870482445, 0.17984195984899998, 0.17389371246099472, 0.17474845051765442, 0.21568401902914047, 0.16549232229590416, 0.15053017903119326, 0.1560425292700529, 0.15883242432028055, 0.15993942879140377, 0.15339472889900208, 0.16261590272188187, 0.1634450238198042, 0.16941086202859879, 0.19386627338826656, 0.15166412945836782, 0.18099798634648323, 0.15054111368954182, 0.16426377557218075, 0.14921556878834963, 0.15899243112653494, 0.1476907143369317, 0.16321395616978407, 0.1543277669698, 0.17133375629782677, 0.14513913355767727, 0.151033079251647, 0.14412155002355576, 0.1422425378113985, 0.2576244045048952, 0.15165643580257893, 0.14699790347367525, 0.15964170079678297, 0.15928263030946255, 0.15429342910647392, 0.1518633645027876, 0.16116245649755, 0.15049009677022696, 0.14285630360245705, 0.14000466000288725, 0.1458035111427307, 0.15494087152183056, 0.14393646735697985, 0.14488233905285597, 0.15200762078166008, 0.139233342371881, 0.14998130686581135, 0.1430304078385234, 0.17909740842878819, 0.14497203286737204, 0.15296768583357334, 0.17870771884918213, 0.14657745137810707, 0.1423113439232111, 0.13885107822716236, 0.14183142594993114, 0.16493018716573715, 0.1456425953656435, 0.15300920326262712, 0.1364820571616292, 0.14685092773288488, 0.13696900755167007, 0.14435923099517822, 0.14117161091417074, 0.14394810795783997, 0.13758793659508228, 0.13967574574053288, 0.14106401149183512, 0.14223501551896334, 0.1440932285040617, 0.147483317181468, 0.1687954105436802, 0.13767722994089127, 0.1513174520805478, 0.13876669015735388, 0.1328290281817317, 0.15957099571824074, 0.14544446766376495, 0.13887782394886017, 0.13889089692384005, 0.14220666699111462, 0.15088411420583725, 0.1376361260190606, 0.14218598697334528, 0.15177023969590664, 0.15104770567268133]"
val_conv2d_37_loss,"[0.32108548283576965, 0.278535770252347, 0.205188293941319, 0.18928353674709797, 0.1891857460141182, 0.18473641015589237, 0.15814554132521152, 0.15855234488844872, 0.16314681246876717, 0.15733738988637924, 0.16393672116100788, 0.15749506000429392, 0.1520838513970375, 0.15038087591528893, 0.1595312226563692, 0.1508569372817874, 0.14909179508686066, 0.14842505101114511, 0.14390887506306171, 0.16330141481012106, 0.21244670636951923, 0.14103074558079243, 0.13947642780840397, 0.1335966670885682, 0.13652470707893372, 0.15781524777412415, 0.14541583880782127, 0.1398692401126027, 0.13803876284509897, 0.14191873464733362, 0.14529500156641006, 0.1434961473569274, 0.1434639561921358, 0.13920585811138153, 0.14058650378137827, 0.13224870152771473, 0.14638304244726896, 0.14172582514584064, 0.15299943462014198, 0.13027785066515207, 0.1404629535973072, 0.14549933653324842, 0.1393214100971818, 0.14022008143365383, 0.1262735826894641, 0.1296787103638053, 0.13901072554290295, 0.13360684551298618, 0.1323401192203164, 0.12388519197702408, 0.13417934626340866, 0.13440360873937607, 0.13735973369330168, 0.13406648486852646, 0.13724940549582243, 0.13438023626804352, 0.13095265999436378, 0.13428288605064154, 0.1442664284259081, 0.129504282027483, 0.14053795207291842, 0.1333801308646798, 0.12345404271036386, 0.1360321994870901, 0.1628651712089777, 0.13173386733978987, 0.13738386798650026, 0.14138926845043898, 0.1342845158651471, 0.13742658775299788, 0.1307153357192874, 0.12961438857018948, 0.13373200315982103, 0.14110198337584734, 0.13565785344690084, 0.21940376423299313, 0.13649102579802275, 0.12997421342879534, 0.1589307002723217, 0.13349039014428854, 0.13662201166152954, 0.13336425833404064, 0.12583777215331793, 0.16021403018385172, 0.12642214726656675, 0.14137742668390274, 0.14237595815211535, 0.12071380857378244, 0.1630992442369461, 0.13225765712559223, 0.13211200945079327, 0.13182408642023802, 0.12820383626967669, 0.13106091041117907, 0.12998109124600887, 0.12179288547486067, 0.12500549107789993, 0.12480058427900076, 0.12914564181119204, 0.12411648593842983, 0.13135979138314724, 0.23976087756454945, 0.3655749708414078]"
val_conv2d_42_loss,"[0.5678509101271629, 0.3312784545123577, 0.29376980662345886, 0.2709750961512327, 0.2503619100898504, 0.23626303859055042, 0.2178209386765957, 0.33517052605748177, 0.20758580975234509, 0.19966546073555946, 0.19643031433224678, 0.17807869240641594, 0.18530726991593838, 0.1807828787714243, 0.19787884689867496, 0.19166744500398636, 0.18126064725220203, 0.17463376931846142, 0.18296083994209766, 0.16855776775628328, 0.17098290007561445, 0.17404050007462502, 0.16365782637149096, 0.1616969620808959, 0.1600313475355506, 0.1801518565043807, 0.17710313107818365, 0.16192172095179558, 0.16017708741128445, 0.15891370177268982, 0.1644156463444233, 0.19489257782697678, 0.16199165023863316, 0.15786017198115587, 0.1621179413050413, 0.16515334509313107, 0.1701123956590891, 0.1619513863697648, 0.17017502337694168, 0.1573887076228857, 0.15663198102265596, 0.15485496819019318, 0.1475223982706666, 0.15389582887291908, 0.14670750871300697, 0.147107376717031, 0.16970927268266678, 0.15699510090053082, 0.1781888585537672, 0.14357325993478298, 0.1779449377208948, 0.16593423392623663, 0.15172138717025518, 0.16343028098344803, 0.151029285043478, 0.15792003739625216, 0.16134311631321907, 0.16875483561307192, 0.15186429303139448, 0.16078477073460817, 0.17622167523950338, 0.16739844996482134, 0.14320525899529457, 0.16068425960838795, 0.1521581131964922, 0.15399554930627346, 0.14546306058764458, 0.15075507760047913, 0.1546660177409649, 0.1624062918126583, 0.18389003723859787, 0.15107785165309906, 0.1582523938268423, 0.3479580320417881, 0.1907217400148511, 0.15395237039774656, 0.16735487896949053, 0.1489068791270256, 0.17033359222114086, 0.15195281710475683, 0.15586139634251595, 0.15978859923779964, 0.16167481057345867, 0.14838872104883194, 0.15806186757981777, 0.1782181803137064, 0.16901345364749432, 0.14221746381372213, 0.15322636999189854, 0.18319001607596874, 0.14999259542673826, 0.1487870141863823, 0.16185319609940052, 0.16000271029770374, 0.17147478833794594, 0.15219406597316265, 0.15965924225747585, 0.15267827175557613, 0.1611827127635479, 0.16103237681090832, 0.15326331928372383, 0.15419660694897175, 0.15977246314287186]"
val_conv2d_47_loss,"[4.640396356582642, 3.7057079672813416, 3.5528611540794373, 3.1978764832019806, 3.0860478579998016, 2.9292252510786057, 2.783581465482712, 2.91391758620739, 2.7462723404169083, 2.703462854027748, 2.7166937738656998, 2.517603039741516, 2.6566251516342163, 2.6172433346509933, 2.573149561882019, 2.822962313890457, 2.6509337574243546, 2.6402326822280884, 2.754668727517128, 2.613106846809387, 3.6178720593452454, 3.0837968289852142, 2.2544249892234802, 2.5244876742362976, 2.6430719196796417, 2.561897963285446, 2.9647566229104996, 2.554024189710617, 2.6267523616552353, 2.5363582968711853, 2.3014540523290634, 2.4489716291427612, 2.659096658229828, 2.634270131587982, 2.5402561724185944, 2.711834281682968, 2.4696869552135468, 2.666110575199127, 2.6096498519182205, 2.4696095436811447, 2.6988947689533234, 2.592536062002182, 2.4242049157619476, 2.5565003156661987, 2.246038243174553, 2.502619579434395, 2.7849642038345337, 2.6124247610569, 2.5992909967899323, 2.4385348111391068, 2.3928400427103043, 2.592236340045929, 2.6680935323238373, 2.5362453758716583, 2.5046951323747635, 2.5842048078775406, 2.473614364862442, 2.407128721475601, 2.5675868839025497, 2.33309842646122, 2.3198739141225815, 2.4543549716472626, 2.499659836292267, 2.3395037055015564, 2.465262472629547, 2.620462492108345, 2.598298341035843, 2.2971916496753693, 2.4040092080831528, 2.4535256028175354, 2.374239966273308, 2.3385040909051895, 2.296322613954544, 4.186369478702545, 2.549182027578354, 2.4678167551755905, 2.368616208434105, 3.0633368492126465, 2.426020100712776, 2.515486314892769, 2.3852833658456802, 2.3545398712158203, 2.341875672340393, 2.4436707198619843, 2.439109206199646, 2.5696674287319183, 2.283270701766014, 2.275187522172928, 2.518335223197937, 2.5204471051692963, 2.4888619631528854, 2.307660296559334, 2.1112144887447357, 2.485584542155266, 2.1591901034116745, 2.470657527446747, 2.226651519536972, 2.7374701350927353, 2.3508958369493484, 2.340409070253372, 2.4581341445446014, 2.331520229578018, 3.370157927274704]"
val_conv2d_52_loss,"[0.5772963799536228, 0.4441850781440735, 0.3780852034687996, 0.38148288056254387, 0.3609878532588482, 0.30692746862769127, 0.2747023180127144, 0.2907702177762985, 0.2894682474434376, 0.2770712785422802, 0.267392348498106, 0.29748169146478176, 0.3058904930949211, 0.2497228141874075, 0.2632361948490143, 0.24728745594620705, 0.2528810054063797, 0.25689932331442833, 0.24237257800996304, 0.24991105869412422, 0.22736741229891777, 0.23088003508746624, 0.2292499952018261, 0.22590346075594425, 0.24054952524602413, 0.2315100133419037, 0.24774089641869068, 0.2359101865440607, 0.22187624871730804, 0.21750015579164028, 0.25809009931981564, 0.2221082765609026, 0.22572151571512222, 0.23088031634688377, 0.22163709439337254, 0.20596091635525227, 0.41348303854465485, 0.2292357999831438, 0.22640393674373627, 0.2023546639829874, 0.2392886020243168, 0.24999813921749592, 0.2151240035891533, 0.21700740233063698, 0.20840315334498882, 0.2190276999026537, 0.23629111424088478, 0.21843022666871548, 0.2949445601552725, 0.22980458848178387, 0.21017617546021938, 0.22496090084314346, 0.21674898080527782, 0.22566264308989048, 0.22448723204433918, 0.21714531257748604, 0.21353097073733807, 0.21379829198122025, 0.20782993733882904, 0.21859970688819885, 0.23460101336240768, 0.21464147418737411, 0.22286987118422985, 0.21362412348389626, 0.21469619870185852, 0.24780137464404106, 0.21209964528679848, 0.21690997667610645, 0.2156616896390915, 0.24145562574267387, 0.20193376950919628, 0.21467919647693634, 0.2146875411272049, 0.5930206030607224, 0.27781585417687893, 0.25504770688712597, 0.2477342113852501, 0.22857788018882275, 0.3614988699555397, 0.22441424243152142, 0.2125357650220394, 0.22754932940006256, 0.20957792550325394, 0.21419665031135082, 0.210020637139678, 0.21081105805933475, 0.20988634414970875, 0.21582535468041897, 0.3385589085519314, 0.21221593208611012, 0.21277130767703056, 0.219168983399868, 0.20552321523427963, 0.2503167036920786, 0.20503535494208336, 0.1982191801071167, 0.20583699643611908, 0.21627310663461685, 0.28506367467343807, 0.2068972997367382, 0.20980899222195148, 0.22492345422506332, 0.22103011794388294]"
loss,"[13.679346892458788, 5.311094467756096, 4.3541443161130085, 3.908710163627088, 3.6200352882428026, 3.4057802121306575, 3.2443393694271943, 3.114247744958662, 3.041947758706041, 2.953031821603395, 2.8716668064478097, 2.8119861303373823, 2.771324025865145, 2.6989105969568423, 2.6767762649230913, 2.651300695119374, 2.6077320168448708, 2.57264912527793, 2.5863874301495873, 2.53826691677272, 2.5168447722892298, 2.5073412098361803, 2.459965993993702, 2.4742610875686273, 2.4382624330776737, 2.4312090948636613, 2.398983202998424, 2.4066988717876003, 2.381444045970606, 2.367446859512614, 2.3534022770978815, 2.3504726073208575, 2.332750917603143, 2.3224362192359873, 2.3136599977085095, 2.301730825952517, 2.3019560664595162, 2.3141281609717397, 2.2736563776286602, 2.2876473510780206, 2.2681615206424315, 2.266883487486232, 2.254357492738916, 2.2591142062662977, 2.2559936332742243, 2.279244739912937, 2.24483348823597, 2.2323568026686824, 2.2301853774228895, 2.243066046341577, 2.233216947330325, 2.223328060684014, 2.2197559009556755, 2.2005063582826425, 2.202295259845877, 2.198278553726137, 2.1951613221585684, 2.1781284446402114, 2.1699948662671273, 2.168526517427377, 2.164401401894565, 2.1599442114267635, 2.1161375055017397, 2.0886873728446127, 2.0991459011305476, 2.0772439665836617, 2.080390219375541, 2.0679923319407343, 2.0624815955147526, 2.0537285635769695, 2.0564530885067756, 2.0506828070544985, 2.030800612810442, 2.4490963275382422, 2.9230509175612682, 2.1924717521350647, 2.0864450206128202, 2.0790626136039445, 2.052006115086979, 2.051511146532473, 2.042670130152111, 2.019927146542376, 2.020384567322525, 2.0245104199265063, 1.9868448146289897, 1.987035715368763, 1.9902612034928626, 1.9764821785992035, 1.9771500414491097, 1.9809799669753938, 1.950813961946555, 1.9856203513288022, 1.9585704357092035, 1.9558062071387026, 1.9668382378181615, 1.9571103969813712, 2.0805987514728725, 1.9465687845401458, 1.9580694442967639, 1.9434817750357578, 1.939963053066205, 1.9407146074711155, 1.9734238403811144]"
conv2d_27_loss,"[0.5767316739523529, 0.2084942884404926, 0.15801973394009955, 0.13537576924679454, 0.12535134655478125, 0.1191812372588009, 0.11419549090674318, 0.11060128555605281, 0.10783903639771844, 0.1051943230299343, 0.10318854206333458, 0.10168009479700331, 0.09953010010771281, 0.09820991477197819, 0.0968751386633083, 0.09570283886222612, 0.09486373495372427, 0.09407767976591919, 0.09339064979205859, 0.09255426305893846, 0.09179388714081722, 0.09147040536451842, 0.09023729760554575, 0.09046283003111945, 0.08921623934402749, 0.08887362477688299, 0.08865725116831058, 0.08799515763072839, 0.08711245089278434, 0.08698299879688823, 0.08636008457776782, 0.0863633915299296, 0.08553028103492222, 0.08544573795095763, 0.08494621981863563, 0.08451133310910343, 0.0844907061076194, 0.08405292726917026, 0.08370091839449054, 0.0835063880565241, 0.08314914567909665, 0.08342131882377901, 0.08257587136162377, 0.0825792658065393, 0.08292333426826519, 0.08247539166831395, 0.08232434586532092, 0.08211355489923114, 0.08171189131456554, 0.08193217777128302, 0.08206494090560894, 0.08155118794915817, 0.0816347527762221, 0.08115123093936795, 0.08089199232645045, 0.08108673601979566, 0.08094417758838811, 0.08090721894723929, 0.08051772734123475, 0.08063464596401385, 0.08063908620270285, 0.08061400186249848, 0.08011782492881235, 0.08055511229709698, 0.07984384091659671, 0.07987844573533945, 0.08004599969405042, 0.07978252191323444, 0.07964256048049873, 0.07939566011362166, 0.07986939842539405, 0.0794425849387152, 0.07920134995867016, 0.0867204182365639, 0.07953151392493632, 0.07928517741870016, 0.07925483044587563, 0.079174922003616, 0.07929228905563636, 0.07932666367577886, 0.08091628013110636, 0.07870725105420695, 0.07915370342458865, 0.07877717304826277, 0.07864276748583761, 0.0791613466187833, 0.07870208779979056, 0.0783302404856926, 0.07885434905506447, 0.07833147523584358, 0.07853500205912067, 0.0787496737483992, 0.07841709938007567, 0.07867746764602158, 0.07825078923824519, 0.07816843403934409, 0.0789152327563989, 0.07840530943653545, 0.07821982719441453, 0.07807625708059879, 0.07788938092705221, 0.07783779600719742, 0.07808760879612874]"
conv2d_32_loss,"[1.817070028273304, 0.45867275844760247, 0.3466234244529987, 0.30049635860594537, 0.27105753072810795, 0.25510682998346795, 0.2392867854151747, 0.22936074645077997, 0.22601314327769303, 0.2180089668338811, 0.21135953982935132, 0.21036059327695852, 0.20456903530150686, 0.20148525624675212, 0.19913517732424857, 0.19844116013319718, 0.19290228417413444, 0.19308323594447585, 0.19052106286228893, 0.18778971260865265, 0.18681568280481223, 0.18492646570238033, 0.18343207519604585, 0.1809278677361022, 0.1796583082972472, 0.18108037690057574, 0.1767750534673499, 0.17792053827407417, 0.17604656872914018, 0.17546982956990384, 0.17444089925327108, 0.17572545596415948, 0.17115074879637324, 0.17262205366222633, 0.1738912429978219, 0.170502144758768, 0.17106394475719924, 0.16974144697948415, 0.16909845251742656, 0.16850228439129533, 0.16825337447061028, 0.16860594724615416, 0.16598347507433703, 0.1666445466581472, 0.1664690248820836, 0.1667341098936062, 0.16439751709129657, 0.1656754286351262, 0.16430251488455902, 0.16509122532871803, 0.16370329122004385, 0.16409924375934987, 0.1636087481161437, 0.16207836004198917, 0.16448173109041825, 0.16249469044728665, 0.1623513007769619, 0.16269092854826092, 0.16262525218566787, 0.16072065086162762, 0.16272045341903058, 0.1594084754012781, 0.15903274957730062, 0.15889329406105865, 0.15967846184696668, 0.15856699596426282, 0.1584100284585822, 0.15795962016200307, 0.15775788976818092, 0.15807673175007533, 0.157001645587888, 0.15937053706138038, 0.1571252888639933, 0.1615939436548473, 0.16606546584454882, 0.1581951883143992, 0.15636853446125787, 0.15597918797758792, 0.15569623563220006, 0.15821027128873671, 0.15680112731194376, 0.15502433367857374, 0.15606690202514792, 0.15570177646108377, 0.15432119862911842, 0.15419820831224307, 0.154366289054024, 0.15442795008998508, 0.15309413898311316, 0.15621331600825059, 0.15386647828426603, 0.15423138684913895, 0.15509873495157706, 0.1524703599788983, 0.15280261077811882, 0.15315401811948912, 0.15314008142894026, 0.1520646465581286, 0.15248605785303534, 0.15320729918505663, 0.15384253196764824, 0.1522948780836556, 0.1552400514978507]"
